train_cohort,test_cohort,feature_set,cell_type,n,MAE_raw,RMSE_raw,R2_raw,r_raw,age_mean,age_sd,pred_raw_mean,pred_raw_sd,MAE_age_informed_corrected_DO_NOT_USE_AS_TRANSFER_PERFORMANCE,RMSE_age_informed_corrected_DO_NOT_USE_AS_TRANSFER_PERFORMANCE,R2_age_informed_corrected_DO_NOT_USE_AS_TRANSFER_PERFORMANCE,r_age_informed_corrected_DO_NOT_USE_AS_TRANSFER_PERFORMANCE,mean_cBAG,mean_abs_cBAG,sd_cBAG,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,cBAG_age_slope_p
ADNI,ADNI,imaging_only,diagonal_oof,233,4.723538352295813,5.882814541577577,0.15895430047544923,0.3991587783429196,76.1030042808053,6.428495261030994,76.07208404641901,2.4456906362629565,1.7925000797320854,2.237592067514865,0.8783222676274239,0.9442042498283163,-3.842419944453761e-15,1.7925000797320856,2.2424092788333074,-1.3600232051658168e-15,-4.582848347466177e-16,3.1034432796096235e-14,0.999999999999984
ADNI,ADRC,imaging_only,external,204,17.204400193549386,20.54724478844903,-2.0234075621695737,0.2386473236113994,57.955882352941174,11.846015925461524,74.82991011070816,5.234826004787475,2.786319872739797,5.3204955415362205,0.797281365396358,0.9119154170195396,1.513612985430459,2.786319872739797,5.113199523593694,-0.10749353774166454,-0.04639837641858195,4.202671830513275,0.12593801693371232
ADNI,HABS,imaging_only,external,486,8.821250006656356,10.798585864212288,-0.6094682718635829,0.3192960677506214,67.30940328998331,8.520654219997283,74.4762951918492,3.1446646046959277,2.3333815820593844,3.002352668013659,0.8755851966290606,0.940268088286405,-0.2604095753336285,2.333381582059385,2.994119969690009,-0.09680676443465347,-0.03401746616059312,2.029285773373094,0.03287041348063558
ADNI,AD_DECODE,imaging_only,external,86,29.95399758375473,33.779872393980284,-3.443900853844629,0.2239090727238391,52.181253144907394,16.11816461533264,82.10782491909553,2.344979578592876,9.668451843217944,10.114094945183215,0.6016155264247827,0.9872866142931485,9.668451843217944,9.668451843217944,2.986582099870781,-0.6437496480047311,-0.11928226453898692,15.892749884824632,2.3000713607981146e-11
ADRC,ADNI,imaging_only,external,316,19.712754355302067,21.53616906018793,-10.118634059140614,0.1588288138470575,76.4367088607595,6.468908344207893,56.72395450545743,6.9148545920713405,5.050349993330427,7.381056547444387,-0.30602532471290345,0.6848824250251664,-2.831219539723703,5.050349993330427,6.827275960795307,-0.007607934660028584,-0.008029402590349228,-2.2174784315993508,0.8928430615099857
ADRC,ADRC,imaging_only,diagonal_oof,145,7.967090352192356,10.678047598160102,0.11176128750470993,0.36028091975090715,56.137931029034256,11.369196137448707,55.94590161057949,5.6109741829676505,3.7112680843363735,5.216082726646018,0.788049261678622,0.9083589846809966,1.2373244191684504e-14,3.7112680843363743,5.234162790309402,-2.8796409701215e-16,-1.3045980265775063e-16,1.9696987595346727e-14,0.9999999999999973
ADRC,HABS,imaging_only,external,486,11.460454368945465,13.365409433959785,-1.4655464148231716,0.5139197687941254,67.30940328998331,8.520654219997283,56.1573128177637,5.353836190801473,4.001725929840472,5.072057009029873,0.6449276123954324,0.9047769970562547,-1.774958968380839,4.001725929840473,4.756241156480165,0.25995466647327103,0.14510706004211502,-11.54202859297938,6.015057283798955e-09
ADRC,AD_DECODE,imaging_only,external,86,14.4271473285328,17.193108863583678,-0.15121695654618228,0.12218731156623577,52.181253144907394,16.11816461533264,58.7105329072189,2.1457244528801342,4.0128055959343065,4.817826266873932,0.9096037068573193,0.9878103091891188,3.4681578112977447,4.012805595934306,3.3637627647681847,-0.7740582335340402,-0.1615412378433701,11.897582036544335,2.3492111759478662e-18
HABS,ADNI,imaging_only,external,316,16.426476306197518,23.817473491319586,-12.598966823266595,0.17948269861347826,76.4367088607595,6.468908344207893,63.088119990049066,19.864631509042283,12.02888493089277,20.81634154288088,-9.387794347220439,0.3761560037660163,-7.106227042076509,12.02888493089277,19.596859931186412,0.07473744442631733,0.2264090248470985,-24.412187757762638,0.18512111450056037
HABS,ADRC,imaging_only,external,204,16.42444331080672,81.29358354300831,-46.326244366089114,-0.02435201726752996,57.955882352941174,11.846015925461524,67.96563009811932,79.71320145938076,14.32259161972804,79.79266128496893,-44.59480949165313,0.0758002522976813,3.7728185006098074,14.32259161972804,79.89948937369107,-0.07244224663429547,-0.48861140754693827,32.09072375270515,0.3031612555059712
HABS,HABS,imaging_only,diagonal_oof,394,5.142657860003447,6.57900822750343,0.34223306137429044,0.585932288838055,67.08560913927933,8.12224798170224,67.1576345611033,4.50163001899825,2.864265534659152,3.643308659045686,0.7982827152323019,0.9122184380202092,3.758302186101647e-14,2.864265534659152,3.6479409669039873,1.887379141862766e-15,8.49602170719046e-16,-1.9413057287724723e-14,0.9999999999999701
HABS,AD_DECODE,imaging_only,external,86,17.583237861776695,21.371185243727947,-0.7787117304270794,0.4627830394166327,52.181253144907394,16.11816461533264,68.06094763525586,5.781680895152554,6.683361484220595,8.088285049549734,0.7452223963691788,0.9354082672301164,5.743411572589035,6.683361484220595,5.728450930485513,-0.44664981886045274,-0.15874087599393474,14.026709407272897,1.62724501834691e-05
AD_DECODE,ADNI,imaging_only,external,316,80.57254174162473,81.1444906439371,-156.8456471945479,0.1629629583814605,76.4367088607595,6.468908344207893,-4.1358328808652365,8.268903596820333,61.99274207661081,62.52894721106067,-92.7296005985216,0.5806923289581978,-61.99274207661081,61.99274207661081,8.184200312966277,-0.07939233632642417,-0.10044396198496552,-54.3151361975448,0.15914900507875995
AD_DECODE,ADRC,imaging_only,external,204,55.125452511932956,56.71820757710546,-22.037455037728,0.12630117250827236,57.955882352941174,11.846015925461524,2.830429841008221,7.893626867041188,49.38642648594909,50.005690132986345,-16.90722770178392,0.7610092338091621,-49.320488958833906,49.38642648594909,8.270047017012175,-0.3217038129455374,-0.22459075484553945,-36.30413359344757,2.706193781662173e-06
AD_DECODE,HABS,imaging_only,external,486,77.82913982012431,78.91403225186538,-84.95222388082557,0.07422040578492661,67.30940328998331,8.520654219997283,-10.519736530141028,10.541921443782496,65.55857274060683,66.42008966333844,-59.89022277084046,0.53586441783445,-65.55857274060683,65.55857274060683,10.674094242926355,-0.17316153441172197,-0.21692495550664942,-50.957483426748084,0.00012474573137947003
AD_DECODE,AD_DECODE,imaging_only,diagonal_oof,79,9.753298029103052,12.561462958621108,0.3104445698651668,0.5581331790672459,50.265034997599074,15.223758113073481,49.77635502546892,8.42158198007856,5.096700152812739,6.943451723848261,0.7893121072936543,0.9088326072345254,-8.904269726613914e-15,5.096700152812739,6.98781927895074,3.139849491518021e-16,1.3796183675657358e-16,-1.5838926279516134e-14,0.9999999999999979
